id,Question,Answer
167,has indonesia the world s largest muslim population ,True
168,is it the world s largest archipelagic state,True
169,is it the world s fourth most populous country and the most populous muslimmajority nation,True
170,is james monrow the fifth president of us,True
171,did monroe wedding happen at the trinity church in new york,True
172,was james monroe president of the united states,True
173,did james monroe attend the college of william and mary,True
174,did james monroe fight in the continental army,True
175,is it true that he practiced law in fredericksburg,True
176,was monroe anticlerical,False
177,was monroe appointed minister to france from 1794 to 1796,True
178,had monroe racked up many debts during his years of public life ,True
179,is watt commemorated by statuary in george square glasgow and princes street edinburgh,True
180,was watt a gentleman greatly respected by other prominent men of the industrial revolution,True
181,was watt a fellow of the royal society of edinburgh and the royal society of london,True
182,was watt ranked 22nd in michael h hart s list of the most influential figures in history ,True
183,did john adams represent the continental congress in europe,True
184,was adams raised congregationalist,True
185,was adams an opponent of the stamp act,True
186,was adams the first to introduce a bicameral legislature,True
187,did john adams get along with alexander hamilton,False
188,did john adams go to harvard ,True
189,did john adams support the stamp act of 1765,False
190,is adams birthplace part of a national park,True
191,is it true that adams had spent some time as the ambassador,True
192,is it true that massachus08_setts sent him in 1774,True
193,are his last words often quoted as  thomas jefferson survives   ,True
194,did the election of 1800 not become a bitter and volatile battle  with each side expressing extraordinary fear of the other party and its policies ,False
195,is a kangaroo a reptile,False
196,is a kangaroo on the australian coat of arms,True
197,was james cook the first to record the name kangooroo,True
198,are wild kangaroos shot for meat,True
199,have kangaroos fared well since european s08_settlement,True
200,do kangaroos have many natural predators,False
201,do kangaroos eat plants,True
202,are kangaroos and wallabies adept swimmers,True
203,are kangaroos farmed to any extent,False
204,have kangaroos dazzled by headlights or startled by engine noise been known to leap in front of cars ,True
205,is a collision with a vehicle capable of killing a kangaroo ,True
206,was the game of marn grook played using a ball made from kangaroo by the kurnai people ,True
207,have kangaroos large  powerful hind legs  large feet adapted for leaping  a long muscular tail for balance  and a small head ,True
208,is a kangaroo a marsupial from the family macropodidae lrb macropods  meaning   large foot   rrb,True
209,have larger kangaroos adapted much better to changes,True
210,is the leopard smaller than the other members of panthera,True
211,is a leopard larger and less lanky than a cheetah,True
212,are large pythons potential prey for leopards,True
213,is the leopard an old world mammal,True
214,is the leopard of the felidae family,True
215,is the leopard one of the four big cats,True
216,does a male leopard weigh more than a female leopard,True
217,are leopards circular,False
218,is the leopard solitary,True
219,has the new zealand rugby league featured the otahuhu leopards and then the tamaki leopards ,True
220,were the leopard men a west african secret society who practised cannibalism ,True
221,was the leopard tank a german designed tank which entered service in 1965 ,True
222,is the black color heritable and caused by only one recessive gene locus ,True
223,is the leopard lrb panthera pardus rrb an old world mammal of the felidae family and the smallest of the four   big cats   of the genus panthera  along with the tiger  lion  and jaguar,True
224,can a panther be any of several species of large felid,True
225,is the leopard an agile and graceful predator,True
226,is liechtenstein bordered by switzerland,True
227,is liechtenstein the smallest germanspeaking country in the world,True
228,was liechtenstein part of the ancient roman province of raetia,True
229,has leichtenstein worked to promote the countys image by prosecuting international moneylaundering,True
230,is there an airport in liechtenstein,False
231,is liechtenstein heavily urbanized,False
232,is liechtenstein doubly landlocked,True
233,does liechtenstein have an army,False
234,does the state court rule on the conformity of laws,True
235,was liechtenstein completed in november 2000,False
236,is the museum collection also the national art collection of liechtenstein ,True
237,is there a small heliport at balzers in liechtenstein available for charter helicopter flights ,True
238,are nationals referred to by the plural  liechtensteiners ,True
239,is it a winter sports resort  although it is perhaps best known as a tax haven ,True
240,is it a winter sports resort,True
241,is it the smallest germanspeaking country in the world,True
242,did webster write i can now sleep of nights,True
243,was the arrival of louis kossuth exiled leader of a failed hungarian revolution another issue that presented itself during fillmores presidency,True
244,did he die at 1110 pm on march 8 1874 of the aftereffects of a stroke,True
245,did fillmore run for president a second time,True
246,was millard fillmore the thirteenth president of the united states,True
247,was millard fillmore born on january 7 1800,True
248,did millard fillmore die on march 8 1974,False
249,was fillmore one of the founders of the university of buffalo,True
250,was another primary objective of fillmore to preserve the union from the intensifying slavery debate,True
251,was fillmore the second chancellor a position he maintained while both vice president and president,False
252,is fillmore the first of two presidents to have been an indentured servant ,True
253,is the comic strip mallard fillmore named after the president ,True
254,was fillmore the first us president born after the death of a former president ,True
255,did fillmore not turn down the honor  explaining that he had neither the  literary nor scientific attainment  to justify the degree ,False
256,are there at least two films describing tesla s life ,True
257,have a number of live theatrical plays based on tesla s life been produced and staged worldwide ,True
258,do sea otters have long muscular tails,False
259,can otters survive in cold water,True
260,does the giant otter inhabit south africa,False
261,is otter a kind of mammal,True
262,do otters live in water,True
263,do sea otters live along the pacific coast,True
264,are otters totem animals,True
265,are otters herbivores,False
266,is it true that otters eat a variety of fish,True
267,are otters playful animals,True
268,are otters very active,True
269,are male otters dogotters,True
270,is the myth of otter s ransom the starting point of the volsunga saga ,True
271,are male otters dogotters  females are bitches and babies are cubs or pups ,True
272,is an otter s den called a holt ,True
273,have most otters fish as the primary item in their diet  supplemented by frogs  crayfish and crabs ,True
274,do penguins feed on krill,True
275,do penguins live almost exclusively in the southern hemisphere,True
276,are penguins afraid of humans,False
277,are penguins birds,True
278,do penguins have a better than average sense of hearing for birds,True
279,are penguins considered higher waterbirds,True
280,is it true that each penguin gets a turn in the center,True
281,are all penguins countershaded,True
282,are penguins at risk,True
283,is it also possible that penguin comes from the latin pinguis  fat ,True
284,have penguins an average sense of hearing for birds ,True
285,can larger penguins dive deep in case of need ,True
286,is the smallest penguin species the little blue penguin lrb also known as the fairy penguin rrb  which stands around 40 cm tall lrb 16 in rrb and weighs 1 kg lrb 22 lb rrb ,True
287,is the largest living species the emperor penguin lrb aptenodytes forsteri rrb,True
288,is the smallest penguin species the little blue penguin lrb also known as the fairy penguin rrb  which stands around 40 cm tall lrb 16 in rrb and weighs 1 kg lrb 2,True
289,is polar bear a mammal,True
290,is polar bear a carnivore,True
291,does a polar bear live in the arctic,True
292,is a polar bear white in color,True
293,is a polar bear at high risk of extinction,True
294,do female polar bears weight more than the male,False
295,are polar bears excellent swimmers,True
296,is the polar bear the mascot of bowdoin college ,True
297,have thumbpolar bears been made both controversial and famous for their distinctive white fur and their habitat ,True
298,did mitchell taylor  the nunavut government manager of wildlife research  not write a letter to the us fish and wildlife service arguing that local studies are insufficient evidence for global protection at this time ,False
299,are cubs born in december without awakening the mother ,True
300,does qatar rank as the eighth richest country in the world per capita,False
301,do nearly all qataris profess islam,True
302,can women legally drive in qatar,True
303,does the native pronunciation of qatar sound like cutter,True
304,was qatar university founded in 1973,True
305,is qatar bordered by saudi arabia to the south,True
306,has qatar a modern telecommunication system centered in doha ,True
307,was qatar university founded in 1973 ,True
308,did the qataris not choose as their negotiator the respected entrepreneur and longtime resident of doha  muhammed bin thani ,True
309,will oil and gas probably remain the backbone of qatar s economy for some time to come ,True
310,has it been created with a long term perspective to support the development of qatar and the wider region  develop local and regional markets  and strengthen the links between the energy based economies and global financial markets ,True
311,can these allophones not occur in these positions in english,True
312,is rrb  officially the state of qatar lrb arabic   transliterated as dawlat qatar rrb  an arab emirate in southwest asia,True
313,does romania border hungary,True
314,is romania a secular state,True
315,is the president elected by popular vote,True
316,is the romanian economy doing well,True
317,are there many roma in romania,False
318,does romania share a border with ukraine,True
319,did romania declare neutrality during world war i,True
320,does romania share the same language with moldova,True
321,is it true that romania has a population of 21698181,True
322,is romania a semipresidential unitary state,True
323,is romania a semipresidential democratic republic where executive functions are shared between the president and the prime minister ,True
324,was gellu naum the leader of the surrealist movement in romania ,True
325,was the bucharest metro only opened in 1979 ,True
326,is romania lrb  rrb a country in southeastern europe,True
327,is singapore located at the southern tip of the korean penisula,False
328,is singapore a citystate,True
329,has sang nila utama visited singapore,True
330,was lee kuan yew a successful leader of singapore,True
331,is it true that singapore has several long  standing disputes with malaysia,True
332,has singapore changi airport a network of 81 airlines connecting singapore to 185 cities in 58 countries ,True
333,has singapore a network of reservoirs and water catchment areas ,True
334,has urbanization eliminated many areas of former primary rainforest  with the only remaining area of primary rainforest being bukit timah nature reserve ,True
335,does the economy not depend heavily on exports refining imported goods  especially in manufacturing ,False
336,is singapore lrb     rrb  officially the republic of singapore lrb     rrb  an island nation located at the southern tip of the malay peninsula,True
337,is singapore the 17th wealthiest country in the world in terms of gdp per capita,False
338,was thedore roosevelt  a member of the republican party,True
339,does theodore roosevelt have a brother,True
340,did theodore roosevelt go to harvard,True
341,did theodore roosevelt study judo,False
342,did roosevelt receive a medal of honor,True
343,did roosevelt study biology,True
344,did roosevelt support racial integration in schools,True
345,was roosevelts family rich,True
346,are turtles ectothermic,True
347,does the mother care for the young,False
348,are turtles pets,True
349,do sea turtles lay eggs on dry sandy beaches,True
350,are pleurodira known as sidenecked turtles,True
351,do turtles lay eggs underwater,False
352,are turtle eggs leathery and soft,True
353,are turtles being examined for longevity genes,True
354,are the largest turtles aquatic,True
355,is aquatic respiration in australian freshwater turtles being studied,True
356,has this inspired genetic researchers to begin examining the turtle genome for longevity genes ,True
357,can turtles take many years to reach breeding age ,True
358,are immature sea turtles not cared for by the adults ,True
359,are the pleurodira sometimes known as the sidenecked turtles  a reference to the way they withdraw their heads into their shells ,True
360,does the order testudines not include both extant lrb living rrb and extinct species  the earliest known turtles being from around 215 million years ago ,True
361,was ulysses grant a general in the american civil war,True
362,was grants fatherinlaw a democrat,True
363,did ulysses win the battle of champion hill,True
364,did horace greenley lose in the presidential elections of 1872,True
365,was grant elected president as a republican,True
366,was it a twosentence description that completely caught the essence of ulysses s grant ,True
367,was grant s favorite brand of bourbon whiskey old crow ,True
368,had he smoked only sporadically ,True
369,is the famous dragon gate at the entrance to the district at the corner of grant and bush street ,True
370,is uruguay located in the northwesten part of africa,False
371,is uruguays capital montevideo,True
372,does uruguay have cold summers,False
373,is uruguays landscape mountainous,False
374,does uruguay recognize samesex civil unions,True
375,does uruguay border french guiana,False
376,is uruguays warmest month june,False
377,is uruguay the smallest soverign nation in south america,False
378,is uruguay very common,False
379,is the climate in uruguay temperate,True
380,is the main sport in uruguay football ,True
381,is uruguay s oldest church in san carlos  maldonado ,True
382,is uruguay a member of the cairns group of exporters of agricultural products ,True
383,is it widely considered the most secular nation in latin america ,True
384,is it the second smallest independent country in south america  larger only than suriname and the french overseas department of french guiana,True
385,is it a constitutional democracy  where the president fulfills the roles of both head of state and head of government,True
386,was woodrow wilson the thirtieth president of the united states,False
387,did woodrow wilson create the league of nations,True
388,did the us join the league of nations,False
389,was wilson a member of the phi kappa psi fraternity,True
390,was wilson an automobile enthusiast,True
391,did wilsons father own slaves,True
392,did wilson support desegregation,False
393,did wilson support the committee system,False
394,did wilson have any siblings,True
395,was wilson awarded the 1919 nobel peace prize,True
396,was wilson a remarkably effective writer and thinker,True
397,was wilson president of the american political science association in 1910 ,True
398,did he not cast his ballot for john m palmer  the presidential candidate of the national democratic party  or gold democrats  a shortlived party that supported a gold standard  low tariffs  and limited government ,True
399,did wilson not spend 1914 through the beginning of 1917 trying to keep america out of the war in europe ,True
400,was wilson  a staunch opponent of antisemitism  sympathetic to the plight of jews  especially in poland and in france ,True
401,was volta an italian physicist,True
402,is volta buried in the city of pittsburgh,False
403,did volta have a passion for the study of electricity,True
404,is it a disadvantage for something to be unsafe to handle,True
405,was lombardy under napoleons rule in 1800,True
406,was the italian 10000 lira banknote created before the euro,True
407,did alessandro volta live to be 80 years old,False
408,is the electrolyte sulphuric acid,True
409,is volta buried in the city  of como,True
410,was his 1800  paper written in french,True
411,before 1796 was lombardy ruled by austria,True
412,did he receive the societys 1794 copley medal,True
413,did he experiment with individual cells,True
414,did he become professor of experimental physics at the university of pavia,True
415,is it true that his passion been always the study of electricity,True
416,is it true that volta married the daughter of count ludovico peregrini,True
417,is it true that he published his invention of the voltaic pile battery,True
418,was amedeo avogadro italian,True
419,did amedeo avogadro graduate,True
420,did avogadro live in england,False
421,was amedeo avogadro born in north america,False
422,was king victor  emmanuel  iii there to pay  homage  to avogadro,True
423,in fact was avogadro s  famous  1811  paper written in french  ,True
424,is avogadro s  number commonly used to compute  the results  of chemical reactions,True
425,hence can relative molecular  masses be calculated from the masses  of gas samples,True
426,did he publish his work,True
427,did avogadro submit his poem,True
428,is it true that loschmidt calculated first the value of avogadro number,True
429,hence  can relative molecular masses be calculated from the masses of gas samples ,True
430,can the title of this famous 1811 paper be roughly translated into english as essay on determining the relative masses of the elementary molecules of bodies ,True
431,was celsius born in uppsala  in sweden,True
432,is the celsius  crater  on the moon named after him,True
433,was anders celsius   november 27   1701  april 25   1744   a swedish  astronomer,True
434,was anders celsius the first  to perform  and  publish  careful experiments  aiming at the definition  of an international  temperature  scale  on scientific grounds,True
435,was he professor at uppsala university,True
436,is it true that he published a collection of 316 observations,True
437,can syllables begin with a vowel,False
438,are calligraphers held in great esteem,True
439,have many european languages borrowed numerous words from it,True
440,are pronouns in literary arabic marked for person  number and gender ,True
441,however  are nonhuman plural nouns grammatically considered to be feminine singular ,True
442,is a bee an insect,True
443,are bees related to ants,True
444,have managed populations of european honey bees experienced substantial declines,True
445,does beijing mean northern capital,True
446,are the caves of dragon bone hill near the village of zhoukoudian in fangshan district,True
447,are hutongs disappearing,True
448,are famous middle  schools  in beijing ,True
449,was blaise pascal a mathematician of the first order,True
450,has the name pascal been given to the si unit of pressure,True
451,aside from the provincial letters religious influence were they popular as a literary work,True
452,is the violin cello a bowed string instrument,True
453,is the purfling just for decoration,False
454,are the zholes used as access points to the interior of the cello ,False
455,is there cello in performances by rihanna,True
456,are cellos constructed with glue,True
457,is the cello a stringed instrument,True
458,was charlesaugustin de coulomb a member of the national institute,True
459,did charlesaugustin de coulomb find any relationship between electric charges and magnetic poles ,False
460,was charlesaugustin de coulombs fathers family in montpellier ,True
461,did charlesaugustin de coulomb live to be 80 years old,False
462,was the si  unit  of charge  the  coulomb  named after him,True
463,was coulomb born in angoulême  france   to a well  to do  family,True
464,was his father   henri  coulomb  inspector of the royal  fields  in montpellier,True
465,is coulomb distinguished in the history  of mechanics  and  of electricity and  magnetism,True
466,was charles augustin  de coulomb   born  june  14   1736   angoulême   france    died august 23   1806   paris   france   a french  physicist,True
467,does coulomb leave a legacy,True
468,did he publish an important investigation of the laws of friction,True
469,was coulomb born in angoulême france to a well to do family,True
470,was his father inspector of the royal fields,True
471,is it true that coulomb leaves a legacy as a hero,True
472,was old chinese wholly uninflected,False
473,are the modern chinese dialects more like a family,True
474,is it true that onefifth of world population speak some form of chinese,True
475,is copenhagen completely surrounded with water ,False
476,have cymbals been used historically to suggest bacchanal,True
477,can the origins of cymbals be traced to prehistoric times,True
478,are cymbals used in moden orchestras,True
479,can the origins of cymbals be traced back to prehistoric times,True
480,did the modern hihat evolve from clash cymbals,True
481,is the word cymbal derived from a germanic word,False
482,is dhaka the capital of bangladesh,True
483,is dhaka located on the eastern banks of the buriganga river,True
484,is university of dhaka the largest public university in dhaka,True
485,did the mughals arrive in dhaka,True
486,is university of dhaka older than the dhaka college,False
487,is english an intonation  language,True
488,is english a de  jure  official  language  of israel,False
489,is the stressed  syllable called the nuclear  syllable,True
490,does english grammar have minimal inflection,True
491,did old english develop into middle english,True
492,are books magazines and newspapers written in english available,True
493,is the syntax of german different with different rules,True
494,here  are all syllables unstressed  except the syllableswords best and done  which are stressed ,True
495,are many words describing the navy  types of ships  and other objects or activities on the water of dutch origin ,True
496,are local variations in the formal written version of the language quite limited  being restricted largely to the spelling differences between british and american english ,True
497,is the flute a musical instrument,True
498,is it possible to open flutes at one or both ends,True
499,are indian concert flutes available in standard pitches,True
500,are foxes wary of humans,True
501,are fennec foxes endangered,False
502,does the diet of foxes include reptiles,True
503,do foxes damage fruit on farms,False
504,in old french was the plural  for animal animals,True
505,is catalan the only  official  language  of andorra,True
506,in belgium however is quatrevingts universally used,True
507,is french taught in many schools as a primary language along with arabic,True
508,is french descendant of the latin language,True
509,are there also a variety of regional languages in addition,True
510,is it true that france signed the european charter for regional languages,True
511,are the prefixes en and em always nasalized ,True
512,is german an inflected  language,True
513,in switzerland is ß used at all,False
514,are there two common  word  orders,True
515,are feminines declined in the singular,False
516,is 9   of the internet  population german,False
517,is german written using the latin  alphabet,True
518,was the luther bible by martin luther printed,True
519,does a  tz indicate that the preceding vowel is short,False
520,are there 622650 speakers of german in canada,True
521,are there also large populations of german ancestry in mexico,True
522,would bundesländer not accept north rhine westphalia and bavaria ,True
523,have adverbs of time to appear in the third place in the sentence  just after the predicate ,True
524,do both sexes of giraffe have horns,True
525,do giraffes give birth standing up,True
526,are giraffes hunted for their hides,True
527,do male giraffes weigh more than female giraffes,True
528,do male giraffes have larger horns than female giraffes,True
529,are male females generally taller than female giraffes,True
530,was henri becquerel one of the discoverers of radioactivity,True
531,is the si unit for radioactivity named after him,True
532,was henri becquerel a french physicist,True
533,was henri becquerel first in his family to occupy the physics chair at the museum national dhistoire naturelle,False
534,was henri becquerel the sole winner of the 1903 nobel prize in physics,False
535,did henri becquerel intentionally discover radioactivity,False
536,did henri becquerel live to be 80 years old,False
537,in 1908 the year  of his death was becquerel elected permanent secretary  of the académie  des  sciences,True
538,did he become chief engineer in the department of bridges and highways,True
539,did he share the nobel prize in physics,True
540,is it true that becquerel wrapped a fluorescent substance in photographic plates,True
541,is there a becquerel crater on the moon for radioactivity,True
542,must  one conclude from these experiments that the phosphorescent substance in question emits rays which pass through the opaque paper and reduces silver salts ,True
543,was newton a english physicist,True
544,was newton admitted into havard college,False
545,do most japanese people employ politeness,True
546,is it true that japanese borrowed a considerable number of words,True
547,are the several dialects of kagoshima famous to speakers,True
548,is lima the capital of peru,True
549,is the museum of gold in lima,True
550,does lima have volleyball venues,True
551,is the national university of san marcos in lima,True
552,has the san lorenzo megaport project been completed,False
553,is rainfall very low,True
554,is lima the capital  and  largest  city  of peru,True
555,is the gdp  per capita in lima  7600    ref ,True
556,is it true that the ideas of the enlightenment shaped the development of the city,True
557,is london the capital of the united kingdom,True
558,does londons population draw from a wide range of religions,True
559,did caunte take control of the english throne in 101,False
560,are the strings of a classical lyre made of gut,True
561,does a classical lyre have a soundchest,True
562,is lyre played in mordern greece,False
563,does a classical lyre have a fingerboard,True
564,is a guitar played with a plectrum like a lyre,True
565,was michael faraday an english chemist,True
566,was faraday a devout christian,True
567,was faraday considered a gentleman,False
568,who was a member of the sandemanian sect of christianity,True
569,did faraday construct the ancestor of modern power generators,True
570,did faraday lecture on education in 1854,True
571,did faraday receive an extensive formal education,False
572,did faraday discover the chemical substance benzene,True
573,was faraday born in england,True
574,does the production of chemical weapons raise an ethical issue,True
575,can you meet someone through attending a church,True
576,was education another area  of service  for faraday,True
577,was faraday s  earliest  chemical  work as an assistant  to davy,True
578,is it true that institution formed the foundation of electric motor technology,False
579,was his father member of the sandemanian sect,True
580,was faraday christian of the small sandemanian denomination,True
581,is nassau sound a body of water in maine,False
582,was nassau placed in operation by robert fulton,True
583,is nassau range the highest mountain range in the world,False
584,is nassau county named after a german town,True
585,does the united states have a base near glasgow,True
586,did tesla study electrical engineering,True
587,was tesla born in the united states,False
588,was tesla hired by edison,True
589,was tesla regarded as a mad scientist,True
590,is ottawa the capital of canada,True
591,does ottawa sit on the ottowa river,True
592,do small tremors occur in ottawa,True
593,is ottawa colder than moscow in january,True
594,is ottawa on a river,True
595,does it snow in ottawa,True
596,was there a cholera outbreak in 1832,True
597,are there also discussions of having oc transpo light rail and sto transitway networks linking on the gatineau side of the ottawa river ,True
598,does the giant otter live in south america,True
599,do otters have claws,True
600,do otters eat fish,True
601,do otters enjoy playing,True
602,do sea otters have a layer of fat like whales,False
603,is the otter in the same family as the badger,True
604,are there any cities named santiago in the united states,True
605,was santiago the name of an indiepunk band,True
606,is santiago a name in spanish,True
607,is santiago the national capital of a country,True
608,is santiago spanish for st james   from santo   saint    iago   james  ,True
609,is santiago spanish for st james,True
610,has swahili no diphthongs,False
611,is a third  prefix the object  prefix,True
612,is       ref swahili unusual among subsaharan languages,True
613,are vowels never reduced  regardless of stress ,True
614,does the australian black swan have white feathers on its wings,True
615,do swans belong to the family anatidae,True
616,can black swans swim with only one leg,True
617,are swan birds of the family anatidae,True
618,do swans feature strongly in mythology,True
619,are swans and ducks birds of the same family,True
620,is the tiger a member of the felidar family,False
621,are tigers solitary animals,True
622,are panthers a type of tiger,False
623,would it be common for tigers to mate in january,True
624,would a tiger be likely to feedon smaller animals such as mice,True
625,did the predecessors to trumpets have valves,False
626,are trumpets constructed of brass,True
627,is the bass trumpet the smallest trumpet,False
628,did miles davis play the trumpet,True
629,does a trumpet have a mellower tone than a cornet,False
630,is the name of the upper shell of a turtle called the plastron,False
631,do terrestrial tortoises have short feet,True
632,are tortoises land based,True
633,is turtle soup considered a delicacy,False
